"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.065495,0.3633,0.041359,0,1,0.89,0.5,0.89,0
-0.063909,0.37151,0.039666,0,1,0.9,0.5,0.9,0
-0.062539,0.37924,0.037496,0,1,0.91,0.5,0.91,0
-0.061222,0.38772,0.035057,0,1,0.92,0.5,0.92,0
-0.060072,0.3995,0.03184,0,1,0.93,0.5,0.93,0
-0.059082,0.41775,0.027855,0,1,0.94,0.5,0.94,0
-0.058211,0.45015,0.022859,0,1,0.95,0.5,0.95,0
-0.057454,0.50414,0.017,0,1,0.96,0.5,0.96,0
-0.056787,0.58743,0.010765,0,1,0.97,0.5,0.97,0
-0.05621,0.70352,0.0051116,0,1,0.98,0.5,0.98,0
-0.055747,0.84677,0.0012503,0,1,0.99,0.5,0.99,0
-0.055406,1,-3.1659e-18,0,1,1,0.5,1,0
