"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.061567,0.34485,0.04014,0,1,0.89,0.5,0.89,0
-0.06022,0.35415,0.038704,0,1,0.9,0.5,0.9,0
-0.059036,0.36289,0.03673,0,1,0.91,0.5,0.91,0
-0.057891,0.37243,0.034469,0,1,0.92,0.5,0.92,0
-0.056875,0.38548,0.031383,0,1,0.93,0.5,0.93,0
-0.055995,0.40518,0.027507,0,1,0.94,0.5,0.94,0
-0.055212,0.43925,0.022602,0,1,0.95,0.5,0.95,0
-0.054521,0.49506,0.01683,0,1,0.96,0.5,0.96,0
-0.053905,0.58021,0.01068,0,1,0.97,0.5,0.97,0
-0.053365,0.69824,0.0050921,0,1,0.98,0.5,0.98,0
-0.052924,0.84375,0.0012571,0,1,0.99,0.5,0.99,0
-0.052586,1,-3.2109e-18,0,1,1,0.5,1,0
