"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.016153,0,0,0,1,0,0,0.5,0
-0.016767,-0.00052302,0.017382,0,1,0.01,0.01,0.5,0
-0.017382,-0.001046,0.034764,0,1,0.02,0.02,0.5,0
-0.017827,-0.0025079,0.049901,0,1,0.03,0.03,0.5,0
-0.018257,-0.004055,0.064834,0,1,0.04,0.04,0.5,0
-0.018637,-0.006292,0.077847,0,1,0.05,0.05,0.5,0
-0.019006,-0.0086669,0.090477,0,1,0.06,0.06,0.5,0
-0.019345,-0.011549,0.10151,0,1,0.07,0.07,0.5,0
-0.019674,-0.0146,0.11201,0,1,0.08,0.08,0.5,0
-0.019985,-0.018013,0.12123,0,1,0.09,0.09,0.5,0
-0.020287,-0.021606,0.12981,0,1,0.1,0.1,0.5,0
-0.020583,-0.025447,0.13738,0,1,0.11,0.11,0.5,0
-0.020876,-0.029464,0.14422,0,1,0.12,0.12,0.5,0
-0.021172,-0.033642,0.1503,0,1,0.13,0.13,0.5,0
-0.021472,-0.03798,0.15562,0,1,0.14,0.14,0.5,0
-0.02178,-0.042416,0.16036,0,1,0.15,0.15,0.5,0
-0.022099,-0.046988,0.16432,0,1,0.16,0.16,0.5,0
-0.022428,-0.051615,0.16788,0,1,0.17,0.17,0.5,0
-0.022776,-0.05635,0.17065,0,1,0.18,0.18,0.5,0
-0.023133,-0.061111,0.17315,0,1,0.19,0.19,0.5,0
-0.023516,-0.065951,0.17486,0,1,0.2,0.2,0.5,0
-0.023907,-0.0708,0.17641,0,1,0.21,0.21,0.5,0
-0.02433,-0.0757,0.17719,0,1,0.22,0.22,0.5,0
-0.024757,-0.080603,0.17789,0,1,0.23,0.23,0.5,0
-0.025222,-0.085527,0.17782,0,1,0.24,0.24,0.5,0
-0.025687,-0.090452,0.17774,0,1,0.25,0.25,0.5,0
-0.026193,-0.095375,0.17689,0,1,0.26,0.26,0.5,0
-0.026698,-0.1003,0.17603,0,1,0.27,0.27,0.5,0
-0.027238,-0.1052,0.1745,0,1,0.28,0.28,0.5,0
-0.027782,-0.1101,0.17291,0,1,0.29,0.29,0.5,0
-0.028352,-0.11498,0.17073,0,1,0.3,0.3,0.5,0
-0.028928,-0.11984,0.16843,0,1,0.31,0.31,0.5,0
-0.029522,-0.12467,0.16561,0,1,0.32,0.32,0.5,0
-0.030123,-0.12949,0.16262,0,1,0.33,0.33,0.5,0
-0.030733,-0.13427,0.15916,0,1,0.34,0.34,0.5,0
-0.031349,-0.13903,0.15547,0,1,0.35,0.35,0.5,0
-0.031967,-0.14375,0.15137,0,1,0.36,0.36,0.5,0
-0.032586,-0.14845,0.14698,0,1,0.37,0.37,0.5,0
-0.0332,-0.15311,0.14222,0,1,0.38,0.38,0.5,0
-0.033809,-0.15773,0.13712,0,1,0.39,0.39,0.5,0
-0.034406,-0.16231,0.1317,0,1,0.4,0.4,0.5,0
