"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,1,0,0.5,0,0
6.815e-05,-0.014308,-0.00028419,0,1,0.01,0.5,0.01,0
0.0001363,-0.028615,-0.00056839,0,1,0.02,0.5,0.02,0
0.00020445,-0.042923,-0.00085258,0,1,0.03,0.5,0.03,0
0.0002726,-0.05723,-0.0011368,0,1,0.04,0.5,0.04,0
0.00016118,-0.07063,-0.001407,0,1,0.05,0.5,0.05,0
1.3873e-05,-0.083849,-0.0016745,0,1,0.06,0.5,0.06,0
-0.00013343,-0.097068,-0.0019419,0,1,0.07,0.5,0.07,0
-0.00028074,-0.11029,-0.0022093,0,1,0.08,0.5,0.08,0
-0.00059345,-0.12364,-0.0025249,0,1,0.09,0.5,0.09,0
-0.00098878,-0.13706,-0.0028646,0,1,0.1,0.5,0.1,0
-0.0013841,-0.15047,-0.0032042,0,1,0.11,0.5,0.11,0
-0.0017794,-0.16389,-0.0035439,0,1,0.12,0.5,0.12,0
-0.0023531,-0.17733,-0.00372,0,1,0.13,0.5,0.13,0
-0.003105,-0.1908,-0.0037327,0,1,0.14,0.5,0.14,0
-0.0039717,-0.20432,-0.0036047,0,1,0.15,0.5,0.15,0
-0.0049991,-0.21792,-0.0032797,0,1,0.16,0.5,0.16,0
-0.006151,-0.23127,-0.0028068,0,1,0.17,0.5,0.17,0
-0.0075514,-0.24416,-0.0020386,0,1,0.18,0.5,0.18,0
-0.0090583,-0.25671,-0.0011495,0,1,0.19,0.5,0.19,0
-0.010884,-0.26831,0.00010171,0,1,0.2,0.5,0.2,0
-0.012786,-0.27958,0.0014321,0,1,0.21,0.5,0.21,0
-0.015069,-0.28918,0.0031572,0,1,0.22,0.5,0.22,0
-0.01739,-0.29857,0.0049166,0,1,0.23,0.5,0.23,0
-0.020126,-0.30554,0.0070522,0,1,0.24,0.5,0.24,0
-0.022862,-0.3125,0.009188,0,1,0.25,0.5,0.25,0
-0.026006,-0.31635,0.011621,0,1,0.26,0.5,0.26,0
-0.02915,-0.32019,0.014054,0,1,0.27,0.5,0.27,0
-0.032588,-0.32095,0.016625,0,1,0.28,0.5,0.28,0
-0.036052,-0.32143,0.019209,0,1,0.29,0.5,0.29,0
-0.039685,-0.31915,0.021788,0,1,0.3,0.5,0.3,0
-0.043351,-0.31632,0.024367,0,1,0.31,0.5,0.31,0
-0.04707,-0.31126,0.026839,0,1,0.32,0.5,0.32,0
-0.050808,-0.30545,0.029275,0,1,0.33,0.5,0.33,0
-0.054498,-0.298,0.031565,0,1,0.34,0.5,0.34,0
